tempID#,content_rating,runtime,production_company,tomatometer_rating,audience_rating,year,month,len_title,len_movie_info,num_directors,num_authors,num_actors,num_genres,main_genre
84,NR,86,Other,92,63,2008,3,15,67,1,2,17,2,Documentary
85,R,93,MGM,45,39,2008,4,9,355,2,2,12,2,Drama
86,PG,95,Disney,52,58,2009,11,26,419,1,1,31,4,Animation
87,PG,93,IFC,96,87,2006,9,10,483,2,2,5,2,Documentary
88,NR,99,Other,78,78,2007,3,15,62,1,1,5,3,Art House & International
89,PG,91,Disney,40,52,2008,9,23,309,1,2,18,1,Comedy
90,R,98,Other,22,45,2011,10,23,479,1,1,19,1,Drama
91,PG-13,97,Lionsgate,21,43,2008,2,7,374,2,2,40,3,Drama
92,R,87,Other,13,22,2008,4,15,93,1,1,21,2,Horror
93,R,103,Lionsgate,14,46,2008,9,21,459,1,2,19,2,Comedy
94,R,96,Lionsgate,75,34,2008,9,13,78,1,1,10,3,Horror
95,R,100,Lionsgate,73,50,2008,8,23,440,1,1,14,3,Drama
96,R,115,Lionsgate,37,54,2008,9,14,474,1,2,14,2,Comedy
97,PG-13,100,Other,47,64,2007,9,14,440,1,2,12,1,Comedy
98,PG,95,Magnolia,54,36,2007,2,14,69,3,3,15,1,Comedy
99,R,101,Warner Bros.,7,21,2009,9,8,410,1,5,26,3,Action & Adventure
100,PG,99,Other,56,39,2007,10,17,132,1,1,9,2,Comedy
101,R,94,Other,31,58,2007,10,11,178,1,1,13,1,Drama
102,PG-13,98,Universal,41,61,2008,8,10,375,2,1,18,1,Comedy
103,R,108,Other,25,40,2009,5,11,112,1,2,28,1,Drama
104,NR,90,Other,96,78,2007,10,9,493,3,4,20,3,Documentary
105,PG,99,Warner Bros.,73,73,2007,11,10,497,1,1,32,4,Documentary
106,NR,138,Other,50,58,2007,10,44,74,1,1,19,2,Art House & International
107,PG-13,101,Warner Bros.,34,58,2007,10,12,345,1,1,28,1,Drama
108,R,88,Other,0,27,2008,11,5,258,1,1,15,3,Drama
109,PG-13,101,Other,78,62,2007,10,6,493,1,1,16,1,Drama
110,PG,146,Sony,38,46,2007,11,9,468,1,2,7,4,Art House & International
111,NR,147,Other,67,72,2007,11,11,493,1,1,20,4,Art House & International
112,PG-13,106,Magnolia,55,54,2008,3,8,140,1,2,21,2,Drama
113,PG-13,99,20th Century Fox,26,65,2008,4,21,406,1,1,45,2,Comedy
114,R,116,Warner Bros.,76,55,2008,10,9,466,1,1,149,2,Action & Adventure
115,R,96,Other,32,32,2008,9,4,196,1,1,24,1,Drama
116,R,92,Other,20,44,2008,4,9,133,2,2,15,1,Comedy
117,PG-13,90,Sony,54,36,2008,3,12,382,1,3,23,4,Comedy
118,R,165,Other,16,54,2007,11,7,53,1,1,9,1,Drama
119,R,110,Magnolia,17,33,2010,8,18,299,1,2,9,4,Art House & International
120,R,101,Sony,16,52,2008,1,11,405,1,3,40,3,Drama
121,R,98,Other,12,18,2009,4,13,415,1,2,37,2,Drama
122,NR,84,IFC,82,47,2007,10,18,74,2,2,3,2,Documentary
123,PG,102,Sony,94,61,1990,7,12,479,1,1,37,2,Comedy
124,PG-13,100,Other,100,86,2008,3,5,498,1,2,13,1,Comedy
125,PG-13,102,20th Century Fox,41,46,2008,6,10,296,1,2,19,2,Comedy
126,PG-13,96,Other,19,52,2007,12,19,392,1,4,21,2,Kids & Family
127,NR,151,IFC,93,76,2007,9,58,423,1,1,19,2,Art House & International
128,PG-13,102,Universal,26,32,2009,6,16,412,2,2,38,3,Action & Adventure
129,R,78,Other,89,82,2007,11,5,132,2,4,22,3,Art House & International
130,R,98,Other,60,56,2007,12,4,498,1,1,18,2,Comedy
131,R,98,Other,38,33,1988,1,21,495,1,1,49,4,Classics
132,PG-13,113,Warner Bros.,44,24,2009,11,7,441,1,1,50,3,Horror
133,PG-13,109,Other,50,68,2007,12,16,98,1,1,31,2,Comedy
134,R,90,Other,31,26,2006,6,7,92,1,1,10,2,Drama
135,R,90,Other,80,39,2008,2,11,110,2,2,6,2,Horror
136,PG-13,122,Sony,35,66,2008,3,2,499,1,2,41,2,Drama
137,NR,137,IFC,70,52,2007,2,70,304,1,3,16,3,Art House & International
138,NR,93,Other,68,80,2007,9,5,121,1,1,7,3,Art House & International
139,R,128,Warner Bros.,55,62,2008,10,12,432,1,1,8,2,Drama
140,PG-13,92,Sony,19,35,2008,10,10,442,1,1,14,2,Drama
141,R,104,Other,40,43,2008,1,9,400,1,2,11,1,Comedy
142,R,93,IFC,80,90,2007,4,10,289,1,2,31,1,Comedy
143,PG-13,85,20th Century Fox,9,33,2008,3,7,441,1,1,82,2,Horror
144,PG-13,87,Sony,15,46,2011,5,6,500,1,2,35,5,Action & Adventure
145,R,103,IFC,64,63,2008,1,12,485,1,2,15,2,Art House & International
146,R,118,Sony,92,80,2008,1,5,328,2,2,27,2,Drama
147,R,81,Magnolia,61,54,2008,1,12,107,1,1,17,2,Drama
148,R,95,Magnolia,70,68,2008,8,3,127,2,1,13,2,Drama
149,R,95,Other,33,55,2008,11,10,58,1,2,5,1,Drama
150,R,110,Other,73,68,2009,11,8,386,1,1,16,3,Drama
151,PG,88,Disney,22,39,2009,7,7,392,2,5,34,4,Action & Adventure
152,R,90,Other,15,18,2008,12,13,496,1,2,21,1,Drama
153,PG-13,109,Paramount,62,67,2008,9,11,351,1,3,20,1,Drama
154,PG-13,114,Other,14,38,2008,9,9,477,1,1,16,2,Comedy
155,R,140,Universal,68,59,2009,7,14,419,1,4,81,2,Action & Adventure
156,R,144,Magnolia,72,67,2009,5,5,136,1,2,16,3,Art House & International
157,PG,100,Other,71,67,1947,2,20,476,1,1,16,3,Classics
158,R,105,Lionsgate,29,34,2006,10,13,129,1,2,8,1,Mystery & Suspense
159,R,113,Other,79,81,1987,3,11,461,1,2,54,2,Drama
160,PG,88,Disney,5,44,2009,11,8,400,2,2,45,3,Comedy
161,PG-13,88,Other,37,38,2009,9,10,376,1,2,61,4,Action & Adventure
162,R,86,Other,53,28,2008,3,13,491,1,1,10,1,Comedy
163,R,122,20th Century Fox,52,65,2009,1,9,413,1,2,16,2,Drama
164,R,100,MGM,46,58,2008,11,8,463,1,2,11,2,Comedy
165,PG,86,MGM,39,38,2008,9,4,465,2,1,16,3,Animation
166,NR,80,Other,67,41,2008,1,10,80,1,1,10,1,Comedy
167,PG-13,95,Other,13,19,2008,9,10,472,1,2,22,2,Drama
168,R,96,Focus,88,89,2009,3,10,350,1,1,11,2,Drama
169,NR,99,Other,28,17,2008,11,65,135,1,2,14,2,Art House & International
170,R,115,Other,44,58,2007,9,15,494,1,1,59,1,Drama
171,PG,89,20th Century Fox,20,49,2009,12,39,448,1,5,46,3,Animation
172,NR,150,IFC,86,66,2008,11,35,496,1,2,15,3,Art House & International
173,R,97,Other,41,46,2009,2,11,142,1,1,29,2,Comedy
174,NR,117,Other,71,65,2014,10,22,153,1,1,22,1,Drama
175,PG-13,94,Other,31,41,2008,7,6,82,1,2,43,1,Comedy
176,PG-13,111,Other,23,42,2009,2,4,475,1,1,12,2,Mystery & Suspense
177,R,104,Sony,63,82,2008,7,5,214,1,1,16,3,Action & Adventure
178,R,78,Other,0,11,2007,5,4,132,1,1,14,3,Drama
179,PG-13,88,Other,10,30,2009,1,10,365,1,1,10,2,Horror
180,R,104,Other,29,29,2010,1,10,190,1,2,32,1,Action & Adventure
181,PG-13,112,Other,29,75,2008,9,14,119,1,1,72,1,Drama
182,R,110,Magnolia,74,73,2008,2,9,129,1,2,16,2,Action & Adventure
183,PG,122,Other,38,82,2008,9,9,497,1,2,14,1,Drama
184,R,145,Other,87,68,2008,11,7,163,2,1,9,2,Art House & International
185,NR,80,Other,79,85,2008,6,10,471,1,1,5,2,Documentary
186,R,82,Magnolia,73,49,2008,10,8,491,1,2,4,2,Horror
187,R,104,Other,61,49,2010,4,15,141,1,1,29,3,Comedy
188,NR,96,Other,78,71,2008,12,67,121,1,1,5,1,Romance
189,PG-13,108,Disney,45,67,2009,6,12,451,1,2,26,2,Comedy
190,R,99,Other,36,34,2009,4,8,491,1,2,11,2,Comedy
191,NR,91,IFC,50,37,2009,2,4,451,1,1,5,1,Mystery & Suspense
192,NR,95,Warner Bros.,93,69,1935,1,13,479,1,3,21,3,Classics
193,R,123,Warner Bros.,56,63,2009,7,6,394,1,1,17,3,Drama
194,R,99,Warner Bros.,78,84,2009,6,12,443,1,3,37,1,Comedy
195,PG-13,101,Other,11,35,2009,10,14,371,1,2,28,2,Horror
196,PG-13,130,Other,80,92,2009,5,22,399,1,1,10,2,Art House & International
197,PG-13,95,Other,11,30,2011,1,19,489,1,4,31,4,Action & Adventure
198,R,106,Magnolia,50,36,2009,3,7,461,1,1,7,1,Mystery & Suspense
199,R,89,20th Century Fox,5,29,2009,3,10,465,2,2,22,1,Comedy
200,R,93,Other,16,41,2009,2,18,475,2,1,15,2,Drama
201,R,94,Other,71,31,2009,8,5,456,1,1,6,2,Drama
202,PG-13,109,Other,71,57,2009,11,7,146,1,1,41,2,Drama
203,PG-13,106,Other,20,43,2008,3,30,195,1,1,21,3,Action & Adventure
204,NR,90,IFC,33,32,2008,4,13,491,1,4,9,4,Action & Adventure
205,R,96,Other,27,21,2010,2,11,93,1,1,12,2,Comedy
206,NR,95,Other,64,44,2009,11,18,192,1,1,17,3,Comedy
207,NR,89,Other,0,38,2009,1,32,77,1,2,9,2,Art House & International
208,R,125,IFC,45,63,2009,11,16,170,1,1,23,2,Art House & International
209,R,112,Other,90,75,2009,11,13,464,1,2,11,2,Drama
210,R,89,Other,95,62,2009,2,10,222,1,1,5,2,Horror
211,NR,115,Other,81,72,2008,3,38,483,1,1,12,2,Art House & International
212,NR,125,United Artists,93,94,1960,6,13,483,1,2,18,4,Classics
213,PG,97,Other,28,22,2009,4,25,497,1,1,18,2,Comedy
214,NR,62,Other,43,12,1940,9,7,452,1,2,13,4,Classics
215,PG,107,MGM,24,36,2009,9,4,395,1,3,37,3,Drama
216,R,90,Magnolia,77,76,2009,5,7,499,1,1,37,1,Documentary
217,PG-13,107,Other,84,79,2009,10,4,483,1,3,35,3,Art House & International
218,PG,79,Other,67,36,2008,5,5,99,2,2,15,1,Drama
219,R,133,Focus,81,75,2009,4,15,374,1,3,9,3,Art House & International
220,R,108,IFC,91,60,2010,8,19,90,1,1,11,3,Action & Adventure
221,R,89,Paramount,50,47,1986,3,16,472,1,1,17,1,Horror
222,R,89,Samuel Goldwyn,25,33,2009,7,23,493,1,4,15,4,Action & Adventure
223,R,104,Other,27,50,2009,7,6,377,1,1,13,2,Comedy
224,R,97,Magnolia,48,53,2009,10,9,112,3,5,25,2,Action & Adventure
225,PG-13,100,Other,93,65,2012,6,9,87,1,1,11,1,Drama
226,PG,125,Disney,51,63,2010,12,11,497,1,5,51,2,Action & Adventure
227,R,102,Magnolia,27,32,2009,10,10,76,1,1,3,2,Drama
228,R,85,Other,67,27,2009,9,23,109,1,1,13,3,Comedy
229,PG,102,Other,50,61,2009,9,11,141,1,1,13,2,Drama
230,NR,81,Other,0,24,2009,10,16,129,1,2,15,1,Drama
231,R,91,Other,50,53,2010,8,4,144,1,1,17,3,Comedy
232,R,96,Sony,51,39,2010,3,5,428,1,6,27,2,Drama
233,PG-13,88,Sony,10,39,1986,8,19,462,1,5,54,1,Comedy
234,PG-13,92,Other,81,46,2012,9,8,90,1,1,19,3,Kids & Family
235,NR,84,Other,73,87,2008,9,16,92,1,3,11,5,Art House & International
236,R,80,Other,80,43,2009,9,9,165,1,1,4,1,Comedy
237,G,170,United Artists,69,57,1956,10,27,455,1,3,95,4,Action & Adventure
238,R,98,Magnolia,30,58,2010,4,14,473,1,1,9,1,Drama
239,R,95,Magnolia,42,33,2010,1,15,484,1,1,26,2,Drama
240,PG,108,Disney,21,66,2010,3,13,352,1,2,22,3,Drama
241,PG,79,Focus,68,62,2010,5,6,359,2,1,8,2,Documentary
242,PG-13,95,Warner Bros.,34,44,2010,8,14,363,1,1,40,1,Comedy
243,R,98,New Line,54,52,2010,9,18,397,1,1,49,2,Comedy
244,PG-13,113,Warner Bros.,29,61,2010,10,18,463,2,2,47,2,Comedy
245,R,93,Other,63,46,2010,2,6,136,1,1,9,3,Drama
246,PG,86,Other,87,79,2010,2,13,476,1,1,8,2,Documentary
247,PG-13,129,Other,84,70,2010,2,16,374,2,2,50,2,Drama
248,R,111,Universal,22,41,2010,3,8,489,1,2,65,2,Action & Adventure
249,R,105,Other,80,68,2010,2,30,115,1,2,5,3,Art House & International
250,NR,156,Other,40,47,2010,1,4,141,1,3,12,3,Art House & International
251,R,99,Other,94,76,2010,6,13,481,1,2,12,1,Drama
252,R,104,Focus,92,74,2010,7,22,404,1,2,16,2,Comedy
253,R,99,Other,28,48,2012,6,11,470,2,4,57,1,Comedy
254,R,97,IFC,0,39,2010,3,6,161,1,1,19,2,Drama
255,R,90,Other,0,36,2010,3,15,412,1,1,12,2,Drama
256,R,117,Other,50,72,2010,4,10,132,1,1,11,1,Drama
257,R,107,20th Century Fox,64,52,2010,7,9,303,1,2,12,3,Action & Adventure
258,PG-13,82,Other,84,76,2010,6,18,118,2,1,10,2,Documentary
259,NR,96,Other,82,74,2010,9,13,90,1,3,15,3,Drama
260,PG,97,Other,88,77,1981,7,6,480,1,1,43,2,Comedy
261,R,91,Other,98,80,1976,11,22,477,1,1,32,3,Action & Adventure
262,PG,66,Other,75,20,1958,1,27,135,1,1,11,2,Classics
263,PG,98,20th Century Fox,20,41,1985,3,11,497,1,1,20,2,Action & Adventure
264,R,102,Warner Bros.,0,22,1980,10,13,140,1,4,17,2,Horror
265,G,106,Buena Vista,36,59,1961,12,16,467,1,4,18,4,Kids & Family
266,PG,93,Paramount,92,71,1972,10,11,456,1,2,20,3,Action & Adventure
267,PG,102,Paramount,97,80,1976,4,18,492,1,1,27,2,Classics
268,NR,129,Warner Bros.,63,83,1956,9,12,500,1,1,11,4,Classics
269,PG,96,Paramount,92,62,1973,1,20,494,2,1,43,4,Classics
270,NR,118,MGM,75,82,1949,11,12,464,1,1,24,3,Action & Adventure
271,NR,95,Other,95,90,1946,1,42,473,1,1,9,3,Drama
272,NR,93,Kino,82,48,2015,5,10,161,1,1,12,1,Drama
273,PG-13,104,Other,31,43,1986,1,17,478,1,1,63,2,Comedy
274,R,127,MGM,42,52,1988,8,8,497,7,1,33,3,Action & Adventure
275,R,95,Other,67,44,1980,9,34,128,1,1,13,2,Action & Adventure
276,PG,114,Warner Bros.,97,91,1946,8,13,498,1,3,34,3,Classics
277,NR,123,Other,90,86,1962,11,10,492,1,3,17,3,Action & Adventure
278,PG-13,119,Universal,95,83,1963,3,9,320,1,2,22,3,Classics
279,R,98,Warner Bros.,71,75,1974,12,15,494,1,2,28,2,Horror
280,PG,97,Disney,38,45,1979,1,14,487,1,4,9,3,Action & Adventure
281,NR,85,United Artists,100,68,1926,3,16,486,1,3,12,2,Action & Adventure
282,R,143,Other,69,64,1977,3,12,472,1,3,26,4,Action & Adventure
283,R,102,20th Century Fox,50,40,1987,2,11,483,1,3,40,2,Drama
284,NR,86,Other,86,65,1929,10,9,484,1,4,15,3,Classics
285,PG-13,93,Other,21,42,1987,3,10,483,1,5,50,2,Comedy
286,NR,120,20th Century Fox,100,67,1941,5,14,492,1,2,42,3,Classics
287,NR,94,Other,96,87,1930,4,32,456,1,6,17,4,Art House & International
288,G,73,Other,100,38,1944,11,9,449,1,1,13,4,Classics
289,R,107,Universal,80,53,1982,1,10,493,1,4,24,3,Action & Adventure
290,NR,103,Columbia,97,86,1950,12,14,492,1,1,19,3,Classics
291,R,116,20th Century Fox,86,78,1968,10,20,494,1,1,42,3,Classics
292,PG,132,MGM,74,72,1984,5,10,488,1,3,28,2,Action & Adventure
293,R,123,20th Century Fox,69,66,1978,10,20,495,1,1,33,3,Action & Adventure
294,PG,106,MGM,55,56,1983,9,10,493,1,5,30,2,Mystery & Suspense
295,PG,97,Universal,35,55,1985,5,19,499,1,2,66,1,Comedy
296,G,74,Sony,92,82,1970,5,12,489,1,1,16,3,Classics
297,NR,86,Universal,91,91,1945,11,15,470,1,5,21,3,Classics
298,G,93,20th Century Fox,89,70,1950,7,12,482,1,2,27,5,Action & Adventure
299,NR,87,Kino,95,71,1919,5,15,496,1,1,20,3,Classics
300,PG-13,98,Paramount,67,25,1968,1,15,482,1,1,15,3,Action & Adventure
301,PG,100,Paramount,33,25,1975,6,3,109,1,2,17,4,Classics
302,R,102,Warner Bros.,27,39,1987,3,7,451,1,3,36,2,Comedy
303,G,96,20th Century Fox,79,62,1956,1,8,489,1,1,21,3,Comedy
304,PG,110,20th Century Fox,90,92,1969,10,34,360,1,2,23,3,Action & Adventure
305,G,112,Columbia,89,66,1963,4,14,497,1,1,24,4,Classics
306,G,101,Warner Bros.,71,87,1953,11,13,487,1,1,9,5,Classics
307,G,179,Warner Bros.,41,69,1967,10,7,483,2,1,16,7,Action & Adventure
308,NR,108,MGM,93,83,1936,1,7,482,1,3,30,3,Classics
309,NR,105,Universal,100,86,1962,4,9,472,1,1,33,3,Classics
310,NR,119,20th Century Fox,100,89,1935,12,13,498,1,1,44,2,Action & Adventure
311,PG,117,MGM,94,89,1937,6,19,465,1,4,61,2,Action & Adventure
312,R,80,Other,86,73,1962,9,17,483,1,1,23,4,Classics
313,R,107,United Artists,50,52,1980,6,5,500,1,3,53,2,Drama
314,R,98,United Artists,93,77,1976,11,6,490,1,2,19,1,Horror
315,PG,102,Warner Bros.,99,95,1942,11,10,280,1,4,46,3,Classics
316,G,131,Columbia,25,34,1967,4,13,480,7,8,40,3,Action & Adventure
317,NR,75,Universal,94,74,1927,9,22,482,1,2,11,3,Classics
318,R,73,Other,95,73,1942,12,10,469,1,1,21,3,Drama
319,R,118,Universal,61,46,1982,4,10,464,1,4,43,3,Drama
320,NR,88,MGM,100,78,1949,1,6,497,1,1,14,3,Classics
321,PG,122,MGM,36,82,1979,3,9,478,1,1,51,2,Drama
322,NR,99,United Artists,93,74,1949,1,8,478,1,1,11,2,Classics
323,G,114,Other,94,92,1963,12,7,490,1,3,12,4,Classics
324,G,93,Paramount,77,67,1973,2,15,479,3,1,17,2,Animation
325,NR,135,Columbia,89,74,1966,2,9,474,1,1,38,2,Classics
326,R,95,Other,20,18,1989,4,12,122,1,1,44,1,Comedy
327,R,93,Other,35,40,1984,1,20,494,1,2,19,3,Cult Movies
328,PG,108,Other,75,79,1981,8,10,480,1,1,9,1,Drama
329,G,69,MGM,100,74,1938,12,17,472,1,1,20,4,Classics
330,G,101,Warner Bros.,88,75,1945,1,24,496,1,2,30,2,Classics
331,PG,93,MGM,89,88,1983,11,17,476,1,3,28,3,Comedy
332,NR,131,MGM,50,25,1931,1,8,492,1,2,38,3,Classics
333,G,243,20th Century Fox,62,69,1963,6,9,323,1,3,53,2,Classics
334,NR,65,United Artists,89,73,1927,9,7,486,1,2,22,3,Classics
335,R,120,Other,82,72,1988,4,6,497,1,1,86,2,Action & Adventure
336,PG,113,Warner Bros.,81,66,1978,1,4,467,1,1,54,2,Action & Adventure
337,R,90,20th Century Fox,71,67,1985,10,8,486,1,1,40,1,Action & Adventure
338,PG,110,Lionsgate,43,73,1978,6,6,496,1,1,22,2,Action & Adventure
339,NR,101,Other,67,27,1968,2,9,110,1,1,14,5,Action & Adventure
340,NR,104,Paramount,86,77,1954,12,16,478,1,1,27,2,Classics
341,NR,107,Sony,95,70,1944,3,10,491,1,3,88,4,Classics
342,G,79,Universal,79,73,1954,3,30,483,1,3,15,4,Classics
343,R,98,Sony,73,82,1986,3,10,136,1,2,44,1,Drama
344,R,90,Other,25,22,1989,7,13,477,1,1,20,3,Comedy
345,NR,110,Warner Bros.,76,69,1958,9,12,477,2,1,15,5,Classics
346,G,78,MGM,83,61,1935,1,9,473,1,1,24,2,Classics
347,R,120,Warner Bros.,93,83,1988,1,18,481,1,1,15,1,Drama
348,NR,85,Universal,71,56,1946,10,15,495,1,1,22,2,Drama
349,NR,128,Lionsgate,67,71,1965,1,7,452,1,1,39,5,Art House & International
350,R,102,Other,81,75,1985,7,15,136,1,1,36,1,Horror
351,G,92,20th Century Fox,95,87,1951,1,29,495,1,1,41,3,Classics
352,NR,117,Warner Bros.,100,88,1962,12,22,473,1,1,31,2,Classics
353,R,88,Lionsgate,11,49,1988,5,9,474,1,1,35,4,Action & Adventure
354,NR,100,Sony,67,66,1947,1,14,494,1,6,51,3,Classics
