movie_id,title,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,budget,domestic,genre_1,runtime,release_date
tt0103859,Boomerang,R,Reginald Hudlin,Eddie Murphy,Robin Givens,Halle Berry,David Alan Grier,42000000.0,70052444.0,Comedy,117,1992-07-01
tt0103874,Bram Stoker's Dracula,R,Francis Ford Coppola,Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves,40000000.0,82522790.0,Horror,128,1992-11-13
tt0103962,Christopher Columbus: The Discovery,PG-13,John Glen,Marlon Brando,Tom Selleck,Georges Corraface,Rachel Ward,40000000.0,8251071.0,Adventure,120,1992-08-21
tt0104070,Death Becomes Her,PG-13,Robert Zemeckis,Meryl Streep,Bruce Willis,Goldie Hawn,Isabella Rossellini,55000000.0,58422650.0,Comedy,104,1992-07-31
tt0104231,Far and Away,PG-13,Ron Howard,Tom Cruise,Nicole Kidman,Thomas Gibson,Robert Prosky,60000000.0,58883840.0,Adventure,140,1992-05-22
tt0104257,A Few Good Men,R,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,41000000.0,141340178.0,Drama,138,1992-12-11
tt0104438,Honeymoon in Vegas,PG-13,Andrew Bergman,James Caan,Nicolas Cage,Sarah Jessica Parker,Pat Morita,25000000.0,35208854.0,Comedy,96,1992-08-28
tt0104691,The Last of the Mohicans,R,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,40000000.0,75505856.0,Action,112,1992-09-25
tt0104692,The Lawnmower Man,R,Brett Leonard,Jeff Fahey,Pierce Brosnan,Jenny Wright,Mark Bringelson,10000000.0,32100816.0,Horror,108,1992-03-06
tt0104694,A League of Their Own,PG,Penny Marshall,Tom Hanks,Geena Davis,Lori Petty,Madonna,40000000.0,107533928.0,Comedy,128,1992-07-01
tt0104714,Lethal Weapon 3,R,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,35000000.0,144731527.0,Action,118,1992-05-15
tt0104868,The Mighty Ducks,PG,Stephen Herek,Emilio Estevez,Joss Ackland,Lane Smith,Heidi Kling,10000000.0,50752337.0,Comedy,104,1992-10-02
tt0104990,Newsies,PG,Kenny Ortega,Christian Bale,Bill Pullman,Robert Duvall,Ann-Margret,15000000.0,2819485.0,Drama,121,1992-04-10
tt0105112,Patriot Games,R,Phillip Noyce,Harrison Ford,Sean Bean,Anne Archer,Patrick Bergin,45000000.0,83351587.0,Action,117,1992-06-05
tt0105121,The People Under the Stairs,R,Wes Craven,Brandon Quintin Adams,Everett McGill,Wendy Robie,A.J. Langer,6000000.0,24204154.0,Comedy,102,1991-11-01
tt0105130,Peter's Friends,R,Kenneth Branagh,Hugh Laurie,Stephen Fry,Emma Thompson,Kenneth Branagh,5000000.0,4058564.0,Comedy,101,1992-12-25
tt0105226,Red Rock West,R,John Dahl,Nicolas Cage,Dennis Hopper,Lara Flynn Boyle,Craig Reay,8000000.0,2502551.0,Crime,98,1993-01-28
tt0105236,Reservoir Dogs,R,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,1200000.0,2832029.0,Crime,99,1992-10-23
tt0105399,The Twin Dragons,PG-13,Ringo Lam,Jackie Chan,Maggie Cheung,Teddy Robin Kwan,James Wong,10000000.0,8359717.0,Action,104,1992-04-09
tt0105526,The Taking of Beverly Hills,R,Sidney J. Furie,Ken Wahl,Matt Frewer,Harley Jane Kozak,Robert Davi,19000000.0,939277.0,Action,96,1991-10-11
tt0105793,Wayne's World,PG-13,Penelope Spheeris,Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere,20000000.0,121697323.0,Comedy,94,1992-02-14
